25,group1word6,group1word3,0.71207,0.934783,1470895190169952204
25,group1word6,group1word3,0.712291,0.935159,1470895190169992726
25,group1word6,group1word3,0.712511,0.93553,1470895190170040032
25,group1word6,group1word3,0.712729,0.935898,1470895190170087915
25,group1word6,group1word3,0.712946,0.936261,1470895190170120109
25,group1word6,group1word3,0.713162,0.93662,1470895190170160776
25,group1word6,group1word3,0.713376,0.936975,1470895190170192959
25,group1word6,group1word3,0.713589,0.937326,1470895190170233398
25,group1word6,group1word3,0.7138,0.937673,1470895190170265333
25,group1word6,group1word3,0.71401,0.938017,1470895190170305686
25,group1word6,group1word3,0.714218,0.938356,1470895190170337809
25,group1word6,group1word3,0.714425,0.938692,1470895190170378299
25,group1word6,group1word3,0.714631,0.939024,1470895190170410232
25,group1word6,group1word3,0.714835,0.939353,1470895190170450828
25,group1word6,group1word3,0.715038,0.939678,1470895190170497774
25,group1word6,group1word3,0.71524,0.94,1470895190170545725
25,group1word6,group1word3,0.715441,0.940318,1470895190170593813
25,group1word6,group1word3,0.71564,0.940633,1470895190170641554
25,group1word6,group1word3,0.715838,0.940945,1470895190170674481
25,group1word6,group1word3,0.716035,0.941253,1470895190170715208
25,group1word6,group1word3,0.71623,0.941558,1470895190170762088
25,group1word6,group1word3,0.716425,0.94186,1470895190170809989
25,group1word6,group1word3,0.716618,0.942159,1470895190170857016
25,group1word6,group1word3,0.71681,0.942455,1470895190170905063
25,group1word6,group1word3,0.717,0.942748,1470895190170952263
25,group1word6,group1word3,0.71719,0.943038,1470895190170984787
25,group1word6,group1word3,0.717379,0.943325,1470895190171025429
25,group1word6,group1word3,0.717566,0.943609,1470895190171056973
25,group1word6,group1word3,0.717752,0.94389,1470895190171098017
25,group1word6,group1word3,0.717938,0.944169,1470895190171144940
25,group1word6,group1word3,0.718122,0.944444,1470895190171192486
25,group1word6,group1word3,0.718305,0.944717,1470895190171226544
25,group1word6,group1word3,0.718487,0.944988,1470895190171263264
25,group1word6,group1word3,0.718668,0.945255,1470895190171294858
25,group1word6,group1word3,0.718847,0.945521,1470895190171335444
25,group1word6,group1word3,0.719026,0.945783,1470895190171382618
25,group1word6,group1word3,0.719204,0.946043,1470895190171415260
25,group1word6,group1word3,0.719381,0.946301,1470895190171453446
